text,label
I love this item so much 0,positive
I love this item so much 1,positive
I love this item so much 2,positive
I love this item so much 3,positive
I love this item so much 4,positive
I love this item so much 5,positive
I love this item so much 6,positive
I love this item so much 7,positive
I love this item so much 8,positive
I love this item so much 9,positive
I love this item so much 10,positive
I love this item so much 11,positive
I love this item so much 12,positive
I love this item so much 13,positive
I love this item so much 14,positive
I love this item so much 15,positive
I love this item so much 16,positive
I love this item so much 17,positive
I love this item so much 18,positive
I love this item so much 19,positive
I love this item so much 20,positive
I love this item so much 21,positive
I love this item so much 22,positive
I love this item so much 23,positive
I love this item so much 24,positive
Terrible bad worst broken 0,negative
Terrible bad worst broken 1,negative
Terrible bad worst broken 2,negative
Terrible bad worst broken 3,negative
Terrible bad worst broken 4,negative
Terrible bad worst broken 5,negative
Terrible bad worst broken 6,negative
Terrible bad worst broken 7,negative
Terrible bad worst broken 8,negative
Terrible bad worst broken 9,negative
Terrible bad worst broken 10,negative
Terrible bad worst broken 11,negative
Terrible bad worst broken 12,negative
Terrible bad worst broken 13,negative
Terrible bad worst broken 14,negative
Terrible bad worst broken 15,negative
Terrible bad worst broken 16,negative
Terrible bad worst broken 17,negative
Terrible bad worst broken 18,negative
Terrible bad worst broken 19,negative
Terrible bad worst broken 20,negative
Terrible bad worst broken 21,negative
Terrible bad worst broken 22,negative
Terrible bad worst broken 23,negative
Terrible bad worst broken 24,negative
