review,label
excellent product 0,pos
excellent product 1,pos
excellent product 2,pos
excellent product 3,pos
excellent product 4,pos
excellent product 5,pos
excellent product 6,pos
excellent product 7,pos
excellent product 8,pos
excellent product 9,pos
excellent product 10,pos
excellent product 11,pos
excellent product 12,pos
excellent product 13,pos
excellent product 14,pos
excellent product 15,pos
excellent product 16,pos
excellent product 17,pos
excellent product 18,pos
excellent product 19,pos
bad item return 0,neg
bad item return 1,neg
bad item return 2,neg
bad item return 3,neg
bad item return 4,neg
bad item return 5,neg
bad item return 6,neg
bad item return 7,neg
bad item return 8,neg
bad item return 9,neg
bad item return 10,neg
bad item return 11,neg
bad item return 12,neg
bad item return 13,neg
bad item return 14,neg
bad item return 15,neg
bad item return 16,neg
bad item return 17,neg
bad item return 18,neg
bad item return 19,neg
